,playerID,num_seasons,G,AB,Runs,Hits,Doubles,Triples,HR,RBI,SB,BB,SO,nameFirst,nameLast,weight,height,bats,throws,pos,category,AVG,OBP,SLG
8708,wallati01,16,2212,8099,908,2085,432,36,260,1125.0,51.0,649,1307.0,Tim,Wallach,220.0,75.0,R,R,3B,N,0.25743919002346,0.312528577960677,0.41597728114582
6878,reillba01,0,12,25,3,5,0,0,0,3.0,2.0,3,4.0,Barney,Reilly,175.0,72.0,R,R,2B,N,0.2,0.28571428571428603,0.2
2392,edingst01,0,15,53,4,16,0,2,0,12.0,0.0,3,1.0,Stump,Edington,170.0,68.0,L,L,OF,N,0.30188679245283,0.33928571428571397,0.377358490566038
880,braggda01,10,916,2461,341,627,145,14,46,260.0,56.0,304,570.0,Darren,Bragg,180.0,69.0,L,R,OF,N,0.25477448191792,0.3367088607594939,0.381145875660301
7289,salazos01,8,199,372,50,100,16,2,14,62.0,1.0,43,58.0,Oscar,Salazar,195.0,72.0,R,R,3B,N,0.26881720430107503,0.3445783132530119,0.435483870967742
8836,wertzvi01,16,1862,6099,867,1692,289,42,266,1178.0,9.0,828,842.0,Vic,Wertz,186.0,72.0,L,R,OF,N,0.27742252828332503,0.363793850151581,0.469421216592884
7936,stallge01,8,7,20,3,2,1,0,0,0.0,0.0,1,4.0,George,Stallings,187.0,73.0,R,R,C,N,0.1,0.14285714285714302,0.15
5233,masteda01,0,71,198,21,47,12,0,3,21.0,1.0,18,19.0,Dan,Masteller,185.0,72.0,L,L,1B,N,0.237373737373737,0.300925925925926,0.34343434343434304
9072,woodja02,10,153,200,25,49,11,0,5,36.0,1.0,15,59.0,Jason,Wood,200.0,74.0,R,R,1B,N,0.245,0.297674418604651,0.375
6266,ortenfr01,0,9,25,1,7,2,0,1,6.0,0.0,2,6.0,Frank,Ortenzio,215.0,74.0,R,R,1B,N,0.28,0.33333333333333304,0.48
1898,cunnibi02,3,318,945,113,270,39,12,9,112.0,17.0,52,48.0,Bill,Cunningham,155.0,68.0,R,R,OF,N,0.28571428571428603,0.32296890672016,0.38095238095238104
3541,hattijo01,0,13,24,2,8,1,0,0,3.0,0.0,5,8.0,John,Hattig,210.0,74.0,B,R,3B,N,0.33333333333333304,0.448275862068966,0.375
1242,campusi01,3,154,262,26,53,11,3,5,23.0,1.0,16,59.0,Sil,Campusano,160.0,72.0,R,R,OF,N,0.20229007633587803,0.248201438848921,0.324427480916031
5818,morriji01,11,1089,3375,371,876,170,16,112,435.0,50.0,213,521.0,Jim,Morrison,175.0,71.0,R,R,3B,N,0.25955555555555604,0.30351170568561897,0.418962962962963
3581,heathmi01,1,46,160,16,34,1,3,0,18.0,0.0,22,28.0,Mickey,Heath,175.0,72.0,L,L,1B,N,0.2125,0.307692307692308,0.25625
8020,stewadj01,0,17,40,8,10,3,0,3,10.0,2.0,4,12.0,DJ,Stewart,230.0,72.0,L,R,OF,N,0.25,0.31818181818181795,0.55
3843,holtty01,2,156,281,29,64,7,3,0,15.0,7.0,29,84.0,Tyler,Holt,190.0,70.0,R,R,OF,N,0.22775800711743802,0.3,0.274021352313167
5744,moorebi03,0,6,12,0,2,0,0,0,0.0,0.0,0,4.0,Bill,Moore,185.0,73.0,R,L,1B,N,0.166666666666667,0.166666666666667,0.166666666666667
7422,schiena01,7,799,2090,238,529,118,22,52,228.0,30.0,134,408.0,Nate,Schierholtz,215.0,74.0,L,R,OF,N,0.25311004784689,0.298111510791367,0.40526315789473705
6911,resslla01,0,27,108,17,21,1,0,0,5.0,4.0,0,4.0,Larry,Ressler,,,,,2B,N,0.19444444444444395,0.19444444444444395,0.203703703703704
2537,faluir01,2,47,119,14,33,6,1,0,8.0,1.0,8,14.0,Irving,Falu,185.0,69.0,B,R,3B,N,0.27731092436974797,0.32283464566929104,0.34453781512605
5441,mckeere01,3,189,433,38,110,10,7,2,49.0,9.0,54,64.0,Red,McKee,180.0,71.0,L,R,C,N,0.254041570438799,0.336755646817248,0.32332563510392603
2242,dormare01,0,25,77,12,28,6,0,0,11.0,1.0,9,6.0,Red,Dorman,180.0,70.0,R,R,OF,N,0.36363636363636404,0.430232558139535,0.44155844155844204
5331,mccarjo01,0,20,79,12,18,0,1,0,12.0,3.0,1,9.0,John,McCarty,,,,R,OF,N,0.22784810126582297,0.2375,0.253164556962025
2199,dobyla01,12,1533,5348,960,1515,243,52,253,970.0,47.0,871,1011.0,Larry,Doby,180.0,73.0,L,R,OF,Player,0.28328347045624497,0.383662968322881,0.490089753178758
1584,cogswed01,3,109,496,102,146,16,4,1,32.0,,25,21.0,Ed,Cogswell,150.0,68.0,R,R,1B,N,0.294354838709677,0.328214971209213,0.348790322580645
7417,schemmi01,1,32,109,10,36,3,1,1,10.0,2.0,6,1.0,Mike,Schemer,180.0,72.0,L,L,1B,N,0.330275229357798,0.36521739130434794,0.403669724770642
5076,maksumi01,2,34,41,8,9,3,0,0,6.0,0.0,14,6.0,Mike,Maksudian,220.0,71.0,L,R,1B,N,0.21951219512195103,0.418181818181818,0.292682926829268
1900,cunnira01,1,14,26,4,4,1,0,0,1.0,0.0,3,4.0,Ray,Cunningham,150.0,67.0,R,R,3B,N,0.153846153846154,0.24137931034482799,0.19230769230769199
8300,thomade01,14,1597,4677,585,1163,154,54,43,370.0,140.0,456,593.0,Derrel,Thomas,160.0,72.0,B,R,2B,N,0.24866367329484698,0.315410091564387,0.332264271969211
8787,weaveji03,4,31,31,6,5,4,0,0,2.0,2.0,3,14.0,Jim,Weaver,190.0,75.0,L,L,OF,N,0.161290322580645,0.23529411764705901,0.29032258064516103
